Gender,Brand,Fragrance,Top,Heart,Base,Description,Rating,Longevity,Seasonal Use,Occasion,Price,Projection/Sillage
Men,100 Bon,Réglisse Noire,"Star anise, licorice, musk","Violet, iris, cedar, patchouli","Tonka bean, vanilla, amber","A unisex fragrance that is sweet and spicy, with notes of licorice, violet, and tonka bean. Perfect for those who enjoy gourmand scents, and suitable for both casual and formal occasions.",4.1,Moderate,Fall & Winter,Casual (Daytime),$$,Moderate
Unisex,100 Bon,Réglisse Noire,"Star anise, licorice, bergamot","Lavender, jasmine, cedar","Vanilla, tonka bean, musk",A spicy and sweet fragrance inspired by black licorice,4.4,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Unisex,A Lab on Fire,What We Do In Paris Is Secret,"Bergamot, Honey, Lychee","Turkish Rose, Vanilla, Heliotrope","Tonka Bean, Musk, Vanilla","A sweet and fruity fragrance with top notes of bergamot, honey and lychee, and a floral heart of Turkish rose and vanilla.",4.1,Moderate,Spring & Summer,Casual (All),$$,Moderate
Men,Acqua di Parma,Colonia,Citrus,"Lavender, Rosemary","Vetiver, Sandalwood",A classic fresh scent with an Italian heritage. Perfect for everyday wear.,4.6,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Acqua di Parma,Colonia Essenza,"Bergamot, Lemon, Mandarin","Rose, Lavender, Jasmine","Amber, Musk","A modern interpretation of the classic Colonia fragrance, with a more intense and long-lasting effect.",4.7,Long-lasting,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Acqua di Parma,Colonia Club,"Neroli, Mandarin","Mint, Geranium","Vetiver, Musk",A sophisticated and modern scent with an aromatic and citrusy blend. Perfect for a night out.,4.6,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Acqua di Parma,Blu Mediterraneo - Arancia di Capri,"Orange, Mandarin","Cardamom, Petitgrain","Caramel, Musk","Inspired by the Italian island of Capri, this fragrance has a zesty, refreshing scent perfect for summer.",4.5,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Acqua di Parma,Colonia Pura,"Bergamot, Orange","Jasmine, Narcissus, Coriander","Cedarwood, Musk",A clean and fresh scent with a contemporary twist. Ideal for daily wear.,4.4,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Acqua di Parma,Blu Mediterraneo - Fico di Amalfi,"Bergamot, Lemon, Grapefruit","Fig, Pink Pepper, Jasmine","Cedarwood, Benzoin, Musk","Inspired by the picturesque Amalfi coast in Italy, this fragrance has a fruity, spicy, and woody aroma.",4.6,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Acqua di Parma,Colonia Intensa,"Cardamom, Ginger, Bergamot","Myrtle, Artemisia, Neroli","Cedarwood, Leather, Amber",A masculine and intense fragrance perfect for special occasions.,4.4,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate
Men,Acqua di Parma,Blu Mediterraneo - Mirto di Panarea,"Myrtle, Basil, Lemon","Jasmine, Marine Breeze, Rose","Lentisc, Juniper, Cedarwood","Inspired by the Aeolian island of Panarea, this fragrance has a fresh and aromatic scent reminiscent of the Mediterranean sea.",4.4,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
