INDEX,Gender,Brand,Fragrance,Top,Heart,Base,Description,Longevity,Seasonal Use,Occasion,Projection/Sillage,Price,Rating,Overview
1,Unisex,Sean John,3:00 AM,"Mandarin, Bergamot, Cardamom","Tangerine, Orange Blossom, Geranium","Fig Leaves, Smoky Suede, Leather",A spicy and aromatic fragrance that captures the feeling of being up all night and the energy of the city.,Moderate,Fall & Winter,Casual (Daytime),Moderate,Expensive,4.5,"Unisex,Sean John,0.125,Mandarin, Bergamot, Cardamom,Tangerine, Orange Blossom, Geranium,Fig Leaves, Smoky Suede, Leather,A spicy and aromatic fragrance that captures the feeling of being up all night and the energy of the city.,Moderate,Fall & Winter,Casual (Daytime),Moderate,Expensive,4.5"
2,Unisex,Comme des Garçons,2,"Aldehydes, Mandarin, Tea","Nutmeg, Mate, Ink, Incense","Vetiver, Cedarwood, White Musk, Patchouli","A complex fragrance with a smoky and woody profile, inspired by the",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.1,"Unisex,Comme des Garçons,2,Aldehydes, Mandarin, Tea,Nutmeg, Mate, Ink, Incense,Vetiver, Cedarwood, White Musk, Patchouli,A complex fragrance with a smoky and woody profile, inspired by the,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.1"
3,Women,Carolina Herrera,212,"Orange Blossom, Mandarin","Gardenia, Camellia","Sandalwood, White Musk","A floral woody musk fragrance, with a modern and urban sensibility, inspired by the energy of New York City.",Moderate to long-lasting,Spring & Fall,Formal (Daytime),Moderate,Expensive,4.4,"Women,Carolina Herrera,212,Orange Blossom, Mandarin,Gardenia, Camellia,Sandalwood, White Musk,A floral woody musk fragrance, with a modern and urban sensibility, inspired by the energy of New York City.,Moderate to long-lasting,Spring & Fall,Formal (Daytime),Moderate,Expensive,4.4"
4,Men,Histoires de Parfums,1725,"Bergamot, Citrus, Grapefruit","Jasmine, Violet, Geranium","Vanilla, White musk, Amber",A fresh and citrusy scent inspired by the French Revolution.,Long-lasting,Fall & Winter,Formal (Evening),Moderate to Heavy,Exorbitant,4.1,"Men,Histoires de Parfums,1725,Bergamot, Citrus, Grapefruit,Jasmine, Violet, Geranium,Vanilla, White musk, Amber,A fresh and citrusy scent inspired by the French Revolution.,Long-lasting,Fall & Winter,Formal (Evening),Moderate to Heavy,Exorbitant,4.1"
5,Men,Histoires de Parfums,1740,"Bergamot, davana, birch tar","Patchouli, cedar, lavender, vanilla","Leather, amber, vanilla, immortelle","A spicy and smoky fragrance for men that is inspired by the Marquis de Sade. The scent features notes of leather, birch tar, and immortelle, making it perfect for fall and winter, and suitable for both casual and formal occasions.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.1,"Men,Histoires de Parfums,1740,Bergamot, davana, birch tar,Patchouli, cedar, lavender, vanilla,Leather, amber, vanilla, immortelle,A spicy and smoky fragrance for men that is inspired by the Marquis de Sade. The scent features notes of leather, birch tar, and immortelle, making it perfect for fall and winter, and suitable for both casual and formal occasions.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.1"
6,Women,Guess,1981,"Violet, Jasmine, Pear","Sandalwood, Cedarwood, Musk","Amber, Vanilla, Oakmoss","Guess 1981 is a floral, woody fragrance that is perfect for all occasions. It is a blend of floral and woody notes with a touch of warmth and sweetness.",Moderate,All Seasons,All,Moderate,Expensive,4.0,"Women,Guess,1981,Violet, Jasmine, Pear,Sandalwood, Cedarwood, Musk,Amber, Vanilla, Oakmoss,Guess 1981 is a floral, woody fragrance that is perfect for all occasions. It is a blend of floral and woody notes with a touch of warmth and sweetness.,Moderate,All Seasons,All,Moderate,Expensive,4.0"
7,Men,Paco Rabanne,1 Million,"Blood Mandarin, Peppermint","Rose, Cinnamon","Leather, Amber","A bold and luxurious fragrance with a mix of spicy and sweet notes, perfect for the confident and charismatic man.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.7,"Men,Paco Rabanne,1 Million,Blood Mandarin, Peppermint,Rose, Cinnamon,Leather, Amber,A bold and luxurious fragrance with a mix of spicy and sweet notes, perfect for the confident and charismatic man.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.7"
8,Men,Paco Rabanne,1 Million Lucky,"Ozonic Notes, Plum","Hazelnut, Cedarwood","Patchouli, Amber","A fresh and fruity fragrance with a mix of sweet and woody notes, perfect for the optimistic and adventurous man.",Long-lasting,Fall & Winter,Casual (Daytime),Heavy,Exorbitant,4.6,"Men,Paco Rabanne,1 Million Lucky,Ozonic Notes, Plum,Hazelnut, Cedarwood,Patchouli, Amber,A fresh and fruity fragrance with a mix of sweet and woody notes, perfect for the optimistic and adventurous man.,Long-lasting,Fall & Winter,Casual (Daytime),Heavy,Exorbitant,4.6"
9,Women,Carolina Herrera,212 Rose,"Mandarin, Bergamot","Rose, Peony","Musk, Sandalwood","A floral fruity fragrance, with a mix of fresh and romantic notes, inspired by the essence of a New York City sunset.",Moderate to long-lasting,Spring & Fall,Casual (Daytime),Moderate,Expensive,4.1,"Women,Carolina Herrera,212 Rose,Mandarin, Bergamot,Rose, Peony,Musk, Sandalwood,A floral fruity fragrance, with a mix of fresh and romantic notes, inspired by the essence of a New York City sunset.,Moderate to long-lasting,Spring & Fall,Casual (Daytime),Moderate,Expensive,4.1"
10,Women,Carolina Herrera,212 Sexy,"Mandarin, Bergamot","Gardenia, Pepper","Sandalwood, Vanilla","A spicy floral fragrance, with a mix of fresh and warm notes, inspired by the sensuality and glamour of New York City.",Long-lasting,Fall & Winter,Casual (Evening),Heavy,Expensive,4.2,"Women,Carolina Herrera,212 Sexy,Mandarin, Bergamot,Gardenia, Pepper,Sandalwood, Vanilla,A spicy floral fragrance, with a mix of fresh and warm notes, inspired by the sensuality and glamour of New York City.,Long-lasting,Fall & Winter,Casual (Evening),Heavy,Expensive,4.2"
